Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Моб. ном. телефону,Email
Їжакевич,Максим,Петрович,Ч,03.04.1984,Професор,село Алмазна,"проспект Горбиста, буд. 7, Хоростків, 53330",099 406 01 30,iatsenkopanas@example.com
Чарниш,Валентин,Олексійович,Ч,24.12.1979,Соціолог,селище Павлоград,"узвіз Липнева, буд. 11, Підгайці, 64757",+380 51 621-15-84,veniiamynieremenko@example.com
Оробець,Василина,Михайлівна,Ж,06.09.1955,Фрілансер,село Краматорськ,"сквер Амурський 2-й, буд. 44, Волноваха, 23628",032 014-76-45,iustyna76@example.net
Чубай,Тарас,Едуардович,Ч,29.11.1985,Мистецтвознавець,хутір Покров,"набережна Венгера, буд. 68 кв. 2, Волноваха, 21476",+380 83 943 22 94,haievskyiherman@example.org
Бандура,Ілля,Михайлович,Ч,15.09.1993,Палеонтолог,селище Генічеськ,"парк Селищна, буд. 801, Новоселиця, 35476",+380 00 519 42 38,viacheslavchubai@example.net
Василечко,Єва,Богданівна,Ж,25.04.1942,Петрограф,хутір Сімферополь,"провулок Лугова, буд. 04 кв. 1, Канів, 37752",078 979 46 28,hryhorii64@example.com
Мірошниченко,Розалія,Володимирівна,Ж,09.11.1996,Клоун,хутір Шепетівка,"площа Адміральський, буд. 0 кв. 24, Любомль, 20048",003 788-61-18,snosachenko@example.com
Ісаєвич,Анастасія,Едуардівна,Ж,04.12.1984,Золотар,хутір Чорнобиль,"узвіз Шефська, буд. 958, Гуляйполе, 24843",+380 82 005-02-29,pvdovenko@example.net
Каденюк,Марко,Михайлович,Ч,26.06.1939,Електромонтажник,селище Теребовля,"проспект Красних Зорь, буд. 9, Сіверськ, 30923",+380 92 580-22-06,albert65@example.net
Перепелиця,Емілія,Богданівна,Ж,09.04.1958,Фотограф,селище Сорокине,"узвіз Люстдорфський, буд. 115, Сквира, 73567",+380 64 533-21-35,viktoriia29@example.org
Перепелиця,Віра,Володимирівна,Ж,27.07.1961,Юрист,хутір Сніжне,"провулок Політкаторжан, буд. 663, Рожище, 05946",003 885 99 16,omelian59@example.org
Бевз,Емілія,Сергіївна,Ж,01.12.1946,Архітектор,місто Попасна,"провулок Новгородський 2-й, буд. 286 кв. 6, Канів, 04177",691-69-02,mishchenkosviatoslava@example.net
Юрчишин,Соломія,Сергіївна,Ж,20.08.2000,Стиліст,місто Сніжне,"проспект Катерининська, буд. 58, Рівне, 75017",000 360 46 49,xarkhymovych@example.net
Титаренко,Єлисавета,Володимирівна,Ж,16.02.1943,Бібліограф,селище Красноперекопськ,"площа Парусна, буд. 173 кв. 39, Вознесенівка, 72236",+380 36 832-60-84,nfranchuk@example.com
Заруба,Ігор,Михайлович,Ч,31.08.1967,Антрополог,селище Монастириська,"набережна Обривиста, буд. 772, Соледар, 48570",053 823-44-32,ielyseishylo@example.com
Семенченко,Анжела,Сергіївна,Ж,21.07.1942,Електротехнік,хутір Євпаторія,"парк Павла Шклярука, буд. 533 кв. 8, Трускавець, 78527",106 46 11,myron34@example.com
Гайда,Варфоломій,Петрович,Ч,27.02.1941,Вчитель,селище Сторожинець,"сквер Лінія 55-та, буд. 853, Рогатин, 41993",+380 81 572-40-51,pryimakvalentyna@example.net
Дробʼязко,Руслан,Богданович,Ч,29.07.1974,Електрик,місто Надвірна,"вулиця Прокатна, буд. 1 кв. 661, Фастів, 32239",085 484-43-62,ihnat37@example.net
Єрмоленко,Олекса,Богданович,Ч,24.08.1962,Зоолог,село Алчевськ,"сквер Капітана Гаврікова, буд. 6 кв. 133, Городня, 57929",004 345 48 81,aleksiukokseniia@example.org
Безбородьки,Алевтин,Петрович,Ч,17.10.2002,Штукатур,селище Прилуки,"вулиця Любашівський, буд. 475 кв. 1, Перевальськ, 74456",882-08-34,zynoviizasiadko@example.com
Андрійович,Охрім,Едуардович,Ч,12.06.1962,Візажист,місто Лебедин,"сквер Чубаївська, буд. 9, Гірське, 10771",+380 (99) 932-67-66,ielyseiudovenko@example.net
Корж,Емілія,Дмитрівна,Ж,15.01.1981,Модельєр,селище Сміла,"шосе Перший Кришталевий, буд. 645, Зугрес, 64438",091 859-08-63,ovsiienkostepan@example.com
Арсенич,Орхип,Сергійович,Ч,26.12.1942,Антрополог,хутір Ромни,"набережна Скляний 3-й, буд. 70 кв. 677, Алупка, 33344",+380 (97) 978-73-90,leopold42@example.net
Башполченко,Тимофій,Володимирович,Ч,29.04.1938,Головний меркшейдер,селище Донецьк,"набережна Балківська, буд. 05, Київ, 23931",567-62-46,ievhenbevz@example.org
Єрьоменко,Святослав,Андрійович,Ч,11.10.1946,Парфюмер,місто Саки ,"провулок Академічна, буд. 762 кв. 8, Березівка, 10910",+380 05 060-71-71,ilchenkooryna@example.org
Архипенко,Юхим,Дмитрович,Ч,23.09.1984,Слідчий,селище Феодосія,"набережна Цебриківська, буд. 939, Лисичанськ, 28931",011 285 03 62,viacheslav67@example.net
Дутка,Орися,Михайлівна,Ж,05.12.1981,Випробувач,хутір Богодухів,"площа Бахчева, буд. 843 кв. 237, Барвінкове, 52199",048 400-95-31,iaremasalii@example.com
Тарасенко,Стефан,Михайлович,Ч,11.12.1982,Програміст,село Вознесенськ,"набережна 1-ша Лінія Марії Демченко, буд. 66, Снігурівка, 47505",966-98-94,mykhailynamakohon@example.org
Яремків,Зиновій,Єгорович,Ч,31.01.1998,М'ясник,місто Семенівка,"набережна Капітана Кузнецова, буд. 637, Шаргород, 10564",+380 87 964-83-92,rmishchenko@example.com
Іщак,Златослава,Сергіївна,Ж,19.03.1970,Скульптор,місто Новомиргород,"узвіз Леваневського, буд. 34, Новий Розділ, 88600",+380 07 189 60 18,sreva@example.com
Орлик,Клавдія,Дмитрівна,Ж,04.05.1988,Єгер,місто Вилкове,"провулок Слобідський узвіз, буд. 111 кв. 4, Корсунь-Шевченківський, 81988",089 107 44 89,ebairak@example.com
Гавриленко,Дарина,Дмитрівна,Ж,12.02.1995,Кур'єр,селище Тальне,"вулиця Ванцетті, буд. 001 кв. 609, Павлоград, 78584",051 584 60 29,marusiamasliak@example.org
Давимука,Борислав,Дмитрович,Ч,20.09.1996,Паралегал,місто Генічеськ,"узвіз Селищний, буд. 7, Світловодськ, 54757",458-91-09,fvlasenko@example.net
Притула,Теодор,Єгорович,Ч,18.09.1970,Кінокритик,село Тетіїв,"шосе Флотська, буд. 40 кв. 1, Винники, 53067",027 972-54-47,iaryna99@example.net
Талан,Михайлина,Петрівна,Ж,14.04.1938,Пекар,місто Сновськ,"узвіз Орликова, буд. 2, Буськ, 74942",672 51 09,qbandera@example.com
Бабич,Демʼян,Єгорович,Ч,27.10.1965,Модель,селище Снятин,"шосе Східчастий, буд. 075, Конотоп, 44379",000 031-85-37,gdanylchuk@example.com
Носенко,Юстим,Андрійович,Ч,26.05.1996,Графік,місто Житомир,"проспект Проектна 1-ша, буд. 3 кв. 6, Болехів, 15319",978 62 62,symonverhun@example.net
Сич,Віктор,Дмитрович,Ч,08.12.1940,Швачка,хутір Біляївка,"шосе Різницький, буд. 488, Ковель, 09753",+380 24 634-10-78,farkhymovych@example.org
Фастенко,Лукʼян,Михайлович,Ч,02.12.1941,Співак,хутір Костопіль,"шосе Тупиковий 2-й, буд. 8, Ватутіне, 96297",218 82 81,marynaverkhovynets@example.net
Яремків,Роман,Олексійович,Ч,22.04.1982,Етнограф,село Новоукраїнка,"узвіз Вєтрогонова, буд. 6 кв. 8, Іловайськ, 10020",+380 24 886-97-83,oksanazakharenko@example.org
Шовкопляс,Юхим,Андрійович,Ч,04.02.1990,Кур'єр,хутір Белз,"сквер Студентський 2-й, буд. 63 кв. 892, Миронівка, 40645",067 075 43 05,alevtynshynkarenko@example.org
Гайдамака,Прохір,Сергійович,Ч,04.06.1939,Будник,хутір Дебальцеве,"вулиця Кавказька, буд. 9 кв. 459, Баранівка, 61536",094 453-33-71,klymentbaklan@example.net
